date,pass,block,solution,sprayer,nozzle,distance_m,deposition,type,location,distance_log,deposition_log
2020-09-19T00:00:00Z,13,3,Intact,Hood,TTI,30,0.02733776562155967,downwind,missouri,1.4771212547196624,-1.5632369842042486
2020-09-19T00:00:00Z,13,3,Intact,Hood,TTI,45,0.023238409837771475,downwind,missouri,1.6532125137753437,-1.6337935932485248
2020-09-19T00:00:00Z,13,3,Intact,Hood,TTI,60,0.027487223576766997,downwind,missouri,1.7781512503836436,-1.5608691250595623
2020-09-19T00:00:00Z,14,3,Intact,Open,ULD,1,3.9874719755605623,downwind,missouri,0,0.6006976438013691
2020-09-19T00:00:00Z,14,3,Intact,Open,ULD,2,1.205234361105054,downwind,missouri,0.3010299956639812,0.08107150486789001
2020-09-19T00:00:00Z,14,3,Intact,Open,ULD,3,1.1047013116975448,downwind,missouri,0.47712125471966244,0.043244869680311056
2020-09-19T00:00:00Z,14,3,Intact,Open,ULD,4,0.653610100121943,downwind,missouri,0.6020599913279624,-0.1846812453475276
2020-09-19T00:00:00Z,14,3,Intact,Open,ULD,8,0.25816073525598854,downwind,missouri,0.9030899869919435,-0.588109810707793
2020-09-19T00:00:00Z,14,3,Intact,Open,ULD,16,0.15050901616499954,downwind,missouri,1.2041199826559248,-0.8224374831038802
2020-09-19T00:00:00Z,14,3,Intact,Open,ULD,30,0.036900859175588684,downwind,missouri,1.4771212547196624,-1.4329635218931565
2020-09-19T00:00:00Z,14,3,Intact,Open,ULD,45,0.020424907702413345,downwind,missouri,1.6532125137753437,-1.6898398973132038
2020-09-19T00:00:00Z,14,3,Intact,Open,ULD,60,0.049473665323623434,downwind,missouri,1.7781512503836436,-1.305625913147924
2020-09-19T00:00:00Z,15,3,Intact,Hood,ULD,1,1.4919203969410548,downwind,missouri,0,0.1737456514935417
2020-09-19T00:00:00Z,15,3,Intact,Hood,ULD,2,0.15514528916194767,downwind,missouri,0.3010299956639812,-0.8092614068154372
2020-09-19T00:00:00Z,15,3,Intact,Hood,ULD,3,0.14015808770444288,downwind,missouri,0.47712125471966244,-0.8533818365831991
2020-09-19T00:00:00Z,15,3,Intact,Hood,ULD,4,0.04482283398864858,downwind,missouri,0.6020599913279624,-1.3485006880347388
2020-09-19T00:00:00Z,15,3,Intact,Hood,ULD,8,0.10629811404119134,downwind,missouri,0.9030899869919435,-0.9734744407332377
2020-09-19T00:00:00Z,15,3,Intact,Hood,ULD,16,0.07757264458097382,downwind,missouri,1.2041199826559248,-1.1102914024794184
2020-09-19T00:00:00Z,15,3,Intact,Hood,ULD,30,0.06647101387171102,downwind,missouri,1.4771212547196624,-1.1773676969512785
2020-09-19T00:00:00Z,15,3,Intact,Hood,ULD,45,0.03355695748961778,downwind,missouri,1.6532125137753437,-1.474217422258402
2020-09-19T00:00:00Z,15,3,Intact,Hood,ULD,60,0.026620118732074014,downwind,missouri,1.7781512503836436,-1.5747900118001275
2020-09-19T00:00:00Z,16,3,Intact,Open,TTI,1,1.962283090097151,downwind,missouri,0,0.2927616613509197
2020-09-19T00:00:00Z,16,3,Intact,Open,TTI,2,0.7259590287417979,downwind,missouri,0.3010299956639812,-0.1390878890705077
2020-09-19T00:00:00Z,16,3,Intact,Open,TTI,3,0.5363699688042262,downwind,missouri,0.47712125471966244,-0.27053554615922
2020-09-19T00:00:00Z,16,3,Intact,Open,TTI,4,0.457338207420288,downwind,missouri,0.6020599913279624,-0.3397625148260676
2020-09-19T00:00:00Z,16,3,Intact,Open,TTI,8,0.2084753264447628,downwind,missouri,0.9030899869919435,-0.6809453374430835
